prof.	21600	in	soa	ns-tld1.charlestonroadregistry.com. cloud-dns-hostmaster.google.com. 2025082610 21600 3600 259200 900
alsaceatrailcaddow.prof.	10800	in	ns	rory.ns.cloudflare.com.
altadefinizione.prof.	10800	in	ns	lina.ns.cloudflare.com.
altadefinizione.prof.	10800	in	ns	scott.ns.cloudflare.com.
alu.prof.	10800	in	ns	dns1.mydevil.net.
alu.prof.	10800	in	ns	dns2.mydevil.net.
am1nvjjrid136bpntn5fl2gvuv50ttpl.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 AM9T3CQA7EAJ7DTKJUNCA3KVH2ET642R NS
am1nvjjrid136bpntn5fl2gvuv50ttpl.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. Mo+eQd7wAYH1GQKRDFBW+WLBWmnC/6uE5qorINaZUmcYOTmPIsZdcAoQyiSX0uylikxzm/Zcp6HkEqCUCymzSTUhUGwycH+Ua4Adn1PnfiuUSmnRYJZkSrlr2YdJsPgeHi170kq0MuhfEsXOgoepNGxMzdrwdeNaR1TzJq18/Xc=
am9t3cqa7eaj7dtkjunca3kvh2et642r.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 ANEUENSGBDST2AEN75CSVIR3H6LH5IB1 NS DS RRSIG
am9t3cqa7eaj7dtkjunca3kvh2et642r.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. DCqzC49cdcGlIp80GQ5f2bLnFGtJQu3l1yNQqyYAazPWinPJAXRTnWu6spZ41FtHwmrctMjahhrDXPXxgF59IMx7VGmHi4HKAZJm3x5S5aLOhVeX6x5wsXQojjUjCe1LCpAH0cizg0cVLw3FSn2BnYbEDEEjopPSfq4WwSlMtBM=
amazon.prof.	10800	in	ns	dns1.comlaude-dns.com.
amazon.prof.	10800	in	ns	dns2.comlaude-dns.net.
amazon.prof.	10800	in	ns	dns3.comlaude-dns.co.uk.
amazon.prof.	10800	in	ns	dns4.comlaude-dns.eu.
amir.prof.	10800	in	ns	ns-cloud-b1.googledomains.com.
amir.prof.	10800	in	ns	ns-cloud-b2.googledomains.com.
amir.prof.	10800	in	ns	ns-cloud-b3.googledomains.com.
amir.prof.	10800	in	ns	ns-cloud-b4.googledomains.com.
amir.prof.	900	in	ds	57065 8 2 D62115B40E87769570BE3002C7BEBC5BA14B983EDD2CB01F3F2ECF70E6926987
amir.prof.	900	in	rrsig	DS 8 2 900 20250915190149 20250824190149 24921 prof. QqVDxCW0RUavCv5xlmj9bbMQBa0EJE2Gv2smmIyiKtBh0T+7B0kSmr3eMp55z0YJyX+Ui/q8znvfRbzgL+P71xEmfuIFkF/P+fdWOvz6P1/gSJyiII2/CxnaUQY9XxNbeg2kjL1JOmsHjwD9OJrn6jPXb0VrktY0cPrN4jO8CRU=
amuzzlebekickmedill.prof.	10800	in	ns	joaquin.ns.cloudflare.com.
amuzzlebekickmedill.prof.	10800	in	ns	virginia.ns.cloudflare.com.
an99.prof.	10800	in	ns	ns1.dyna-ns.net.
an99.prof.	10800	in	ns	ns2.dyna-ns.net.
anakin.prof.	10800	in	ns	meiling.ns.cloudflare.com.
anakin.prof.	10800	in	ns	micah.ns.cloudflare.com.
andreea.prof.	10800	in	ns	ns-cloud-e1.googledomains.com.
andreea.prof.	10800	in	ns	ns-cloud-e2.googledomains.com.
andreea.prof.	10800	in	ns	ns-cloud-e3.googledomains.com.
andreea.prof.	10800	in	ns	ns-cloud-e4.googledomains.com.
andreea.prof.	900	in	ds	59054 8 2 05443B662C1F30BA85EF99CABC1644C5A5A8162AB283E8B1BA91FFBF078A86B3
andreea.prof.	900	in	rrsig	DS 8 2 900 20250915190149 20250824190149 24921 prof. mIxhPDAoOqmaVQB2zEABl3S+H4v2Zk6qmrToTdYMDriGpQopgwMxegS2P3oZ5du1ZySXN04psyllrCiI4rdOSgQaT827Gy7BPTT/sB0HV7PUWo9yHoEYM7Jy8RSgrtBt18Ie+uxV6UOqtH991tIwnCE/kBs3dzT36ZGIhdBzkzU=
andrey.prof.	10800	in	ns	ns-cloud-a1.googledomains.com.
andrey.prof.	10800	in	ns	ns-cloud-a2.googledomains.com.
andrey.prof.	10800	in	ns	ns-cloud-a3.googledomains.com.
andrey.prof.	10800	in	ns	ns-cloud-a4.googledomains.com.
andrey.prof.	900	in	ds	55021 8 2 D3A4AE4A422702447176C5400FE3451C6DCB11689437F8320B560533FB0B5152
andrey.prof.	900	in	rrsig	DS 8 2 900 20250915190149 20250824190149 24921 prof. gA+7LLCoAzP8XaLgG50BGovzVb5Ytp6RDqrbY2T0aLHtUjRDD9GV5bxSKwdrX4Z6Fj5xnPDtq3mAzhriLR8aAhxykjDcxHPkOAGmtmMP4JevRH9t5pWrF18NQ+7c1aUBXpaEyrND/f0JbEu64l1D1HMu2PBEtEXHZpswd9VzKfU=
android.prof.	10800	in	ns	ns1.googledomains.com.
android.prof.	10800	in	ns	ns2.googledomains.com.
android.prof.	10800	in	ns	ns3.googledomains.com.
android.prof.	10800	in	ns	ns4.googledomains.com.
aneuensgbdst2aen75csvir3h6lh5ib1.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 AOFGED2IJAIM4P7P8LN8C7QIB5EQ5MKM NS
aneuensgbdst2aen75csvir3h6lh5ib1.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. JUTACJZ1M4MYDTscAPHFYjLCdYi5CNalSHLT+oZpspgTW8BmeLk6drMHVrLuHY1IBGLZNARQh+GEFMiKPWWTJq4JZpdpbit2NYfhmL5wJ8HjmwCsPr4+qC9x4KMJOOwWoGpp2t9gBB3R0ZHGQAHlhTqpDXO7XDTn2B00XQRmB8U=
anglais.prof.	10800	in	ns	curitiba.ns.porkbun.com.
anglais.prof.	10800	in	ns	fortaleza.ns.porkbun.com.
anglais.prof.	10800	in	ns	maceio.ns.porkbun.com.
anglais.prof.	10800	in	ns	salvador.ns.porkbun.com.
anitamorales.prof.	10800	in	ns	lila.ns.cloudflare.com.
anitamorales.prof.	10800	in	ns	owen.ns.cloudflare.com.
anthos.prof.	10800	in	ns	ns1.googledomains.com.
anthos.prof.	10800	in	ns	ns2.googledomains.com.
anthos.prof.	10800	in	ns	ns3.googledomains.com.
anthos.prof.	10800	in	ns	ns4.googledomains.com.
aofged2ijaim4p7p8ln8c7qib5eq5mkm.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 AQ4VOUL2EBR3PPDMKDDNJEJSK1O9QI1J NS
aofged2ijaim4p7p8ln8c7qib5eq5mkm.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. izujeUj2B4spKw4SilzyDhl5P2VzleSxtM1EF3W15ws+ryBpfqxwxNEKEqg23hs4V/mONXF1uB/4NiPcsQVfd6enGULAVqv+328sjAQJ0rgyG4vBqnDTnSiDQyti1UBfHxUZAXFKTTg82x7/x3UR1IRa7wTtr05XCrdxLYebEdc=
apse.prof.	10800	in	ns	dns1.registrar-servers.com.
apse.prof.	10800	in	ns	dns2.registrar-servers.com.
aq4voul2ebr3ppdmkddnjejsk1o9qi1j.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 AQ5T6D2C4V3M8BSUTRB39G8JVGPO2IJJ NS
aq4voul2ebr3ppdmkddnjejsk1o9qi1j.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. H3DJlY7ih8Ck5LoLR4P+ZPUUemFInF6791pIhKzrJGKhj4QIY59wnTdQXdqmoo37Pmx+iyIAUzO9yJPGQwB1Fw4REbXTGP4ZEnpsKAsoc0STrfOl52CwcgmPdwjj2FQjo6gD8wj5pSgqR6Jt426BOA/SdtEd14ksi4oRASQTa3U=
aq5t6d2c4v3m8bsutrb39g8jvgpo2ijj.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 AQA86VEI6AVT88MOJQ3E0MQK3CC1B8GK NS
aq5t6d2c4v3m8bsutrb39g8jvgpo2ijj.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. fsOV5OAUlSECR10fcF9SXmzWXpMk4b95cc/YGM15d4ZucIIU3Jm+MySPDJRX+U28WrOx2tJhKc8uCAETM2Tu+QHqpjYvr9u9uNX7vaRvB8L08YIzDtYhmjU0V3iAfSxT6c1lmmG2q1PGAeXs9bjE5GWxAhdWPHXgjn3Z4qpIASQ=
aqa86vei6avt88mojq3e0mqk3cc1b8gk.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 AQT4S2GNHFRTPQAQ11714837N4RFOBGK NS
aqa86vei6avt88mojq3e0mqk3cc1b8gk.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. Hg+h0T0C2HQ97Xbizkmz8FHK4ktqW02COSBI1IB+MuYrsi+NftcFD6gZ11F6Ixi45jLobpSNkgztgQSW1kZ1l9eqj2KVljOGed3nruoZbUzNWdCmQq/osWWziQIgd7w0gMtSWQ8zIWjUFwzT0hNyTTXqJNyAjj7LP0JHhgJ8j4s=
aqt4s2gnhfrtpqaq11714837n4rfobgk.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 AR4DN8R65QND18BEDR376GG795JKE9NL NS
aqt4s2gnhfrtpqaq11714837n4rfobgk.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. TiiTUtctVNUYkO0SPDdO07dRI8sHNmorz/a8s2xjRtmVfaIdouxqycXVrT0NktPf9DtVBM4H3SPqMTdH/5+ifhkvJrPcxhCSoJ5U5ZbcyPfBlIsXvTyoN+n/jS/PbQlsJtG7zX/im8tJv0KlGm7cE2OncyocKCFydH3Jguy1LZ8=
ar4dn8r65qnd18bedr376gg795jke9nl.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 ASMS5ROD3IOO9U9SQO65U9DI9M6E3TPE NS
ar4dn8r65qnd18bedr376gg795jke9nl.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. YeQu3ByN1YCZykL88kaQg7qFRM2RTqiGjzkUSw6FAel2QHbPv4HjuY9SzAC2MdBDPkzdZqj7LKJtJ+lvTwGHoap4mt63oo1nZCSctC42B7TuvHCNKhEm8QAeSDaUO9V93nR0XwOPas/fFEKFLdnuYx6mxgzhVMHatIu+WcqoRTQ=
araruna.prof.	10800	in	ns	curitiba.ns.porkbun.com.
araruna.prof.	10800	in	ns	fortaleza.ns.porkbun.com.
araruna.prof.	10800	in	ns	maceio.ns.porkbun.com.
araruna.prof.	10800	in	ns	salvador.ns.porkbun.com.
araruna.prof.	900	in	ds	2371 13 2 1A97737627C62EBC8252A8BD139424C2B32B5629A793E4D61CFAF02D85B8AE1A
araruna.prof.	900	in	rrsig	DS 8 2 900 20250915190149 20250824190149 24921 prof. e51j2+TovgEMq0YsFEv4poJivC6iTvdAQ7Mon5bfO16d4OifcM3DmibXHY9ZiU+IXJE42LM64G6XcbKSeY781Ad1xuc6v0Q4KBO/wex7ggcD9g1k1Z4Q/U4K6XUO95AAaA0XerZx++b2Rym+WNcRewT0GFvYRpo0RbPx68aEA10=
archi.prof.	10800	in	ns	ns1.hyp.net.
archi.prof.	10800	in	ns	ns2.hyp.net.
archi.prof.	10800	in	ns	ns3.hyp.net.
archi.prof.	900	in	ds	36446 15 2 8CE0AA798E10BF9522849379B0D380FF4BC771D35A634E52A53DAA3C71939C6A
archi.prof.	900	in	ds	36446 15 4 534311278F7A70A9F027FA3B297B1719EF030E0B43105044A8F9CA056FAD40C216B7714D8F52461FD5FFAA85A2F98A98
archi.prof.	900	in	rrsig	DS 8 2 900 20250915190149 20250824190149 24921 prof. lw3Maw4yS4IY53KwTuAdbjAgCftn01s+/nwJgJaEhZJ051PGrEQ5cs5sk4L9NnhV2WDe28RkxDAgHx5Pw7r255sIgp80/oWuzF3FHW3SRKYCmFddzgRsBJD9D0YggeGae4iw99lbXrISbz8yNafUZwoJ59RlmN7+CEUJK2cxFPE=
arcoverde.prof.	10800	in	ns	ns-cloud-c1.googledomains.com.
arcoverde.prof.	10800	in	ns	ns-cloud-c2.googledomains.com.
arcoverde.prof.	10800	in	ns	ns-cloud-c3.googledomains.com.
arcoverde.prof.	10800	in	ns	ns-cloud-c4.googledomains.com.
arcoverde.prof.	900	in	ds	7565 8 2 01D32AD5951CA8F849B7A29E9090E05027F64E5F8B85D7104D850E7328BD6F5B
arcoverde.prof.	900	in	rrsig	DS 8 2 900 20250915190149 20250824190149 24921 prof. KbxoRIa6vV7Y2FjxPr1r7/RaxI3Bh1AQxtJP4aTG6JsWzk165byryYROkye0glgKwnPv4WPJUHZmARdXOZ2ztBuFO4OT3eJ7GvxPOc9JC/W+0PeSLmN7YA65xkyXeT6xECt/BbdrBRcpjjw7PZbpJzqVXu2mVWpvW2HPHvzjOyI=
ardenrowell.prof.	10800	in	ns	curitiba.ns.porkbun.com.
ardenrowell.prof.	10800	in	ns	fortaleza.ns.porkbun.com.
ardenrowell.prof.	10800	in	ns	maceio.ns.porkbun.com.
ardenrowell.prof.	10800	in	ns	salvador.ns.porkbun.com.
area120.prof.	10800	in	ns	ns1.googledomains.com.
area120.prof.	10800	in	ns	ns2.googledomains.com.
area120.prof.	10800	in	ns	ns3.googledomains.com.
area120.prof.	10800	in	ns	ns4.googledomains.com.
aristas-reise.prof.	10800	in	ns	ns1.wordpress.com.
aristas-reise.prof.	10800	in	ns	ns2.wordpress.com.
aristas-reise.prof.	10800	in	ns	ns3.wordpress.com.
art.prof.	10800	in	ns	ns17.domaincontrol.com.
art.prof.	10800	in	ns	ns18.domaincontrol.com.
artificial-intelligence.prof.	10800	in	ns	dns1.registrar-servers.com.
artificial-intelligence.prof.	10800	in	ns	dns2.registrar-servers.com.
arulmuruganramu.prof.	10800	in	ns	ns1.wordpress.com.
arulmuruganramu.prof.	10800	in	ns	ns2.wordpress.com.
arulmuruganramu.prof.	10800	in	ns	ns3.wordpress.com.
asare.prof.	10800	in	ns	ns-cloud-d1.googledomains.com.
asare.prof.	10800	in	ns	ns-cloud-d2.googledomains.com.
asare.prof.	10800	in	ns	ns-cloud-d3.googledomains.com.
asare.prof.	10800	in	ns	ns-cloud-d4.googledomains.com.
asare.prof.	900	in	ds	51319 8 2 70EECF909BF1BBF6AB9AEB1C82F26A5EB3E8BB25E739613A13B491A669B62776
asare.prof.	900	in	rrsig	DS 8 2 900 20250915190149 20250824190149 24921 prof. m3GJVnSMRUVU0C5kNjwi+OMBkXinkd2Vlk3JjT4WgrLBq7zFwqBsv7/clc3aYQ3bsM1JRl95vfHbJWnp4qw/IhC/SGxFeP3N8ANasyLSGBgo1k24X4OiEW0dhduFnlHE7meD/FixQl3/8qTNimC7DgGxhPKX8KcL0RankWLVyBY=
ashour.prof.	10800	in	ns	ns-cloud-d1.googledomains.com.
ashour.prof.	10800	in	ns	ns-cloud-d2.googledomains.com.
ashour.prof.	10800	in	ns	ns-cloud-d3.googledomains.com.
ashour.prof.	10800	in	ns	ns-cloud-d4.googledomains.com.
ashour.prof.	900	in	ds	58174 8 2 8D0D9E55DC2A7B3FB797BF05B6436AECFF17B5AAE6E6759969E42FEA0867BF35
ashour.prof.	900	in	rrsig	DS 8 2 900 20250915190149 20250824190149 24921 prof. DT1Tbwd8cU8psDfcTuoT2LXP+QOS/HENWt/MndsFWaW7Wkd8G8jOUTc4utqAAtzVeL3L2MMWf21UtqwA5cFlr0t13Sdqn7c/JMSq07DfvOWwFdGc/dhvWbXumtTVJURUCtTtO4jPek8FGTjef7aIqX55sinN+/Ozz+hO0nqrtQo=
asms5rod3ioo9u9sqo65u9di9m6e3tpe.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 ASU6F0HM867KR754BLE4K637AQ8JUBI9 NS
asms5rod3ioo9u9sqo65u9di9m6e3tpe.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. jm7/Yv6xtc2gaA7nGpmwM/e8gE1BY3NiAHnaxoQNlPRh7yTyHKUj1WqJQ2j1vq3n7gFwqLzVQ9EakctlS3TVCCFFVchJ1YaMAQRT9Y5K3OkMuACqRRKbbgYiRSXDC+Ml9TTBlcGBURv6nSOVmjS+a5mamaIjWm1rQcq2laN6erI=
asrusa.prof.	10800	in	ns	ns1.wordpress.com.
asrusa.prof.	10800	in	ns	ns2.wordpress.com.
asrusa.prof.	10800	in	ns	ns3.wordpress.com.
assoc.prof.	10800	in	ns	april.ns.cloudflare.com.
assoc.prof.	10800	in	ns	keaton.ns.cloudflare.com.
asst.prof.	10800	in	ns	kate.ns.cloudflare.com.
asst.prof.	10800	in	ns	wilson.ns.cloudflare.com.
asu6f0hm867kr754ble4k637aq8jubi9.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 AT96MGTLUD2QD7QA86U50NU14CS92PQ9 NS
asu6f0hm867kr754ble4k637aq8jubi9.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. NmmNVShcaQKXK2pSmzkV04jYjpzYN4D55A9Q9hEXN4R17qgXNEx1tYNtwC9X4UcMa0rfUnBLP/R70l3tbF/zRbavnB6tI7eCtxEk0l+S+/zj8HmltHxRGh8/a/oS4Go7ypl+qwc1go7vr3wscqKcrU4uNo64uWTbGAZ4wf8pJKU=
at96mgtlud2qd7qa86u50nu14cs92pq9.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 AV658728RL3UUO852199FAT24UUVVOR2 NS
at96mgtlud2qd7qa86u50nu14cs92pq9.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. PcReasuNJX89wSxMX+Xzy9j5inEeK5mfk57IhIlOGqqUqWATahySa1Uq0UOOCQqgNaUP8s4ELAjxVhh86MLSKjsfKIwYY8Kl+EzlsIHtsSvGZVFSy/c129R0F0ISlQ2hZz/TioUFKtiTzRm6zAzp8y/IXHciED2IwntcpGXEy0Q=
atipico.prof.	10800	in	ns	colin.ns.cloudflare.com.
atipico.prof.	10800	in	ns	fatima.ns.cloudflare.com.
augenarztpraxis.prof.	10800	in	ns	ns1.wordpress.com.
augenarztpraxis.prof.	10800	in	ns	ns2.wordpress.com.
augenarztpraxis.prof.	10800	in	ns	ns3.wordpress.com.
av658728rl3uuo852199fat24uuvvor2.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 B0KEB0PL1DGTQACGBBUFG93OL3OHTACT NS
av658728rl3uuo852199fat24uuvvor2.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. WtIm/TxKpguEaa19KPr99ONnRbpJc4sLEC3OB57lhbBwpWElGDgfquxeIdfBdSGJhlor81TxgVQ/7KaVBW8RvrJfZesLyVpawODcfM6UbXSwa2JtmF3APAMqPD9ZAS55sWOt36u1eZGeA8C+nwHrZ4mLMfR93UCeEFy3Sx3exk4=
avmedacademy.prof.	10800	in	ns	ns1.wordpress.com.
avmedacademy.prof.	10800	in	ns	ns2.wordpress.com.
avmedacademy.prof.	10800	in	ns	ns3.wordpress.com.
avmedschool.prof.	10800	in	ns	ns1.wordpress.com.
avmedschool.prof.	10800	in	ns	ns2.wordpress.com.
avmedschool.prof.	10800	in	ns	ns3.wordpress.com.
aws.prof.	10800	in	ns	dns1.comlaude-dns.com.
aws.prof.	10800	in	ns	dns2.comlaude-dns.net.
aws.prof.	10800	in	ns	dns3.comlaude-dns.co.uk.
aws.prof.	10800	in	ns	dns4.comlaude-dns.eu.
aziz.prof.	10800	in	ns	ns-cloud-a1.googledomains.com.
aziz.prof.	10800	in	ns	ns-cloud-a2.googledomains.com.
aziz.prof.	10800	in	ns	ns-cloud-a3.googledomains.com.
aziz.prof.	10800	in	ns	ns-cloud-a4.googledomains.com.
aziz.prof.	900	in	ds	50294 8 2 5BA657F39FA0A3208C45C7620182837B1DB5527FD41AD5744EA43427CCBAE5D6
aziz.prof.	900	in	rrsig	DS 8 2 900 20250915190149 20250824190149 24921 prof. k/WfALngW6hTKvorpCJkZJ8FnJgBXZv4xQ3SdvEVDhBaoSmDe63PYHd+WkjQQskvnS7vte4iebCfGqCsAc+4O1gk6jJSnKwh6XGvPt9Ol5hp8yAJSS8ufTRxKlibDpVBQbkqSSkzmi/j79d3ZvjUowRSX5aW/rImVxxhm+EwCSA=
azuleo.prof.	10800	in	ns	ns.mybns.be.
azuleo.prof.	10800	in	ns	ns.mybns.com.
b.prof.	10800	in	ns	ns1.domaineasy.com.
b.prof.	10800	in	ns	ns2.domaineasy.com.
b0keb0pl1dgtqacgbbufg93ol3ohtact.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 B1MMV49R6TT7G9MAND5UKGA2MVPEK9TG NS
b0keb0pl1dgtqacgbbufg93ol3ohtact.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. pSy3pCAKjeFO2Pd4pg6Fsotpyp8GzIGUDCK6RmemQUrccLEoVVqhEkWaRhsHpEAsIVlI3R0xXx4DTxEIwUodD28cerSHaRJELaUK9dILDyx9XvnuQMMeYCjQ86Oam5xX53+iwesZYL+e8HNHrni0H5wYxbBfmMczvkDXi+N6/5o=
b1mmv49r6tt7g9mand5ukga2mvpek9tg.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 B1TEHH9U6COR1C92GR9BPL561PB1OJKR NS
b1mmv49r6tt7g9mand5ukga2mvpek9tg.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. XJUGMMm32Con8TqK+nPCrHgTdiNi6CzPpdEoqfz+j254Ur0+0444zZTsSDR7LeXuH0ylCJC71D0vwDwEgRpXRpAURs/LYHi3VIRJ+Ju9SYAS10fQdLnc5YK9EimebgH7B3HFVN8kxcVTpnNY0pyg7e1ti2+dcfDbZPxmThQXNKw=
b1tehh9u6cor1c92gr9bpl561pb1ojkr.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 B2RUHCMCEK5JD0I438EGJH5PB1B96K0F NS DS RRSIG
b1tehh9u6cor1c92gr9bpl561pb1ojkr.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. X9m1VqrRCXa6ckokoxn0d+/gf7DOETYxoVLKYscPuXA2NjOS6IrDpP2OentMOD1WCM8ce9QEc3XPGD833+BZDkoUspBUHVMrsDdpTqF3sr/qRWJ+zeJlWkM2EkOZYCLRo56a3WbhwN+IExH33wIbXVlR8dLUW1I9GiMCdTXDie0=
b2ruhcmcek5jd0i438egjh5pb1b96k0f.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 B4K9N5HDIN5C0GN468QFPE7EFVP3S8MH NS
b2ruhcmcek5jd0i438egjh5pb1b96k0f.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. eH4tvJ9E9N8pWoeAHLsq2ueCkfHn9zRfu/RLuPICJ33lNiuflQJB40gz7f/rDREAkGzG03qceCrlrwIuJoOifUmITY6FbwXHS5FRe8QobDJqRr+tT1CE7r09nMv1evf8gu+hKrdRvp1LtAUePDDSkmk8DE4pGtBeo0o9c+6Zsl0=
b4k9n5hdin5c0gn468qfpe7efvp3s8mh.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 B4VB55TPETDG16UBPGNHQU94VB7QQ43K NS
b4k9n5hdin5c0gn468qfpe7efvp3s8mh.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. YGgukl9xvx0MQdqC8pSmBiQkS5wFOhpql5eC9KHdL8+NCuK/CwVg2H3YjSxBWwHznKWKXwgae42v2HBZdGrm1VKNAFdXyqo+McCG8mKgEOZIQxznBf7DG6cbJ3sTEKyoDvJRKxxuxURHWJiCeJ/UeHfOuZjGmRKeKV2ipcP2oYY=
b4vb55tpetdg16ubpgnhqu94vb7qq43k.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 B51HS82K4G7LO0O51DCF11ONBNBT4LBI NS
b4vb55tpetdg16ubpgnhqu94vb7qq43k.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. EaVDy4/ehtDDWnTGmPGOjcky6hn5KKD4uZtsUX2GW5z8l4ZsBRAGt9gUp0XZ7r5Id+iDb+vdxek0OA7j+f1tD+auw9sPKXphDMYjK0YB7TTMNlavqUNAe9qNRYKPv8PRk5fNNE5eYHRPIFZ+hULJfM0jEiLbkqKgk1/wY+kZ+uU=
b51hs82k4g7lo0o51dcf11onbnbt4lbi.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 B5FMB940LIATQ19DPPF7NK38IF7BHTBT NS
b51hs82k4g7lo0o51dcf11onbnbt4lbi.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. L3YopAGG7niArddk2IXTWLWI72esofmYQdqPxPtDNcRmD6fNu7vohmpmGuY/aUK0SQb85e0R+gWhhUYs7h41EFhqVpH1jx2gXUuFdtbgn0gT8J1YTl8qyjDLfWqnTYBe/cnnMs7l73Ch5jCMedukdKtmkqbFJ/LlTTxtzWYbcNo=
b52.prof.	10800	in	ns	curitiba.ns.porkbun.com.
b52.prof.	10800	in	ns	fortaleza.ns.porkbun.com.
b52.prof.	10800	in	ns	maceio.ns.porkbun.com.
b52.prof.	10800	in	ns	salvador.ns.porkbun.com.
b5fmb940liatq19dppf7nk38if7bhtbt.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 B6O956IORF2RCTVEI5H23CUSUEO3HO6G NS
b5fmb940liatq19dppf7nk38if7bhtbt.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. diCS9RYcE2a8KPVVYqzE2wk1fjWN4XAKaolv6yex4V3SKIjn1I3kVOeQqwSiab5A6NR8/IkXfiRXLfSpnGvNmbmjIc7WaAj3Wg+7QuwAKaGOJv/geD+d/aR0ZtRwhEATQwFaaEPFtndWX7hYzga4KQHaazTYwhKIHLhFCWIGIKg=
b6o956iorf2rctvei5h23cusueo3ho6g.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 B7HE6KOF208TI3H68S769BIMJ2IB521N NS
b6o956iorf2rctvei5h23cusueo3ho6g.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. LAYqbs8JCWC8cTFhEBB/sGAgkNx/bZRyjiKD1IYNPPjgR3Q908m4FZr1BNbeez/ieLGfC8fmq1VrHtlgy/6crWEoFV17VYa9qOdhohWvR3IUS4nFc/e9+mtsfnFmpZ7YGwTWzt8tw9v70MXFPkHPZjvQY+X+b4NcvlTf7R3swyY=
b7he6kof208ti3h68s769bimj2ib521n.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 B9H8CUR53TP6ETDOCTPDI1VLQ4E0U1U7 NS
b7he6kof208ti3h68s769bimj2ib521n.prof.	900	in	rrsig	NSEC3 8 2 900 20250915190149 20250824190149 24921 prof. Xfk01Rr+MkGVpaQ0QrcwhiLlJORi8yt8vnUjsj4ilhNGi6YY2Z8oOIljZJJrvobKCU6jY++mEB31dZyD4i6e/16ApAviGzgTSnE4a1gDwDZIb/vfJqpNDAa8ygL8RAm/OO2i/4IR5rIF0pLEntwZeBeNEzjSuu5tRDyVlXnWTBs=
b9h8cur53tp6etdoctpdi1vlq4e0u1u7.prof.	900	in	nsec3	1 0 1 CECCE5239DB19657 BB7GTTI8I9GD2TK1RBVOGHUOTG318ATH NS
