weber.	3600	in	soa	v0n0.nic.weber. hostmaster.donuts.email. 1756257851 7200 900 1209600 3600
v2n0.nic.weber.	3600	in	a	65.22.111.21
v2n0.nic.weber.	3600	in	aaaa	2a01:8840:006d:0000:0000:0000:0000:0021
v2n1.nic.weber.	3600	in	a	161.232.33.21
v2n1.nic.weber.	3600	in	aaaa	2a01:8840:0109:0000:0000:0000:0000:0021
vetonit.weber.	3600	in	ns	nsa.perf1.fr.
vetonit.weber.	3600	in	ns	nsb.perf1.com.
vetonit.weber.	3600	in	ns	nsc.perf1.com.
vn.weber.	3600	in	ns	nsa.perf1.fr.
vn.weber.	3600	in	ns	nsb.perf1.com.
vn.weber.	3600	in	ns	nsc.perf1.com.
wdvs.weber.	3600	in	ns	nsa.perf1.fr.
wdvs.weber.	3600	in	ns	nsb.perf1.com.
wdvs.weber.	3600	in	ns	nsc.perf1.com.
we38.weber.	3600	in	ns	nsa.perf1.fr.
we38.weber.	3600	in	ns	nsb.perf1.com.
we38.weber.	3600	in	ns	nsc.perf1.com.
weber.	3600	in	dnskey	256 3 8 AwEAAajjxJENI9SEHncwuAwAHaTby40Fj4bJRcEr38fFOZxX/yD2jRYLlEMSVJqocrwIrEQKTU+QVilCoTlsgh5YoqfBOg5TV82ektnWMJ4DRbzclGy/HzKHqlcXdkTU56bIYKS+QrTS76COiHt3c/f8/Y+72hK5mq1z82uDEv6Mlj9+sGsSYuYYWpinyw4or9WfBVMNDrHAwiedXHSHnO+zkXc=
weber.	3600	in	dnskey	256 3 8 AwEAAduuQM36R8dXeN6Umx7Bu2bggAOYDgM2ZpoSo6n9u3QqTrwLjPUkc/k+Oe7+IUa4qHAFmY+W+kLIUN/1d1GAbsiO18kfmLn6Xy6Sa6xOkIF/uJPdApWEDxqtn17yHu0wASXlRzye2CUfBjOsPjwhybwi2FtcfLGh2wYmwtmI/2ol
weber.	3600	in	dnskey	257 3 8 AQPQZ+4tPERHvyDuEslc2xQY30++srLWvEy2GoUeq4XxFTI189B/nZqqnyG8QwnBwr7+2EBnvyW6WzTGl6/G8jAM/tMTA+XgiKdlo5jOzXj/4OHs2HzdlV3q1iWvM/YHphQrH05+WZvZh9nH8bq45IhFC3oOddlnAt7EkGoDk5L3WNwY5ZNaX2PnHKZZPmWhRR4+qWGoBrU7C7BZKUxvzQdmoau+0LpmhB6UvRRsQMpqE0U5jduGfB79IqGUaApPpeYW4l2deW0894RpSAxU4qeqz2vQyzuL9BhKSS7FqWMFMY2O+pxmiLgY2UE40eZOu+ODre1CoUD4f5xaX8LfrSpv
weber.	3600	in	dnskey	257 3 8 AwEAAZpYC7OJYKTdkdnNrVndyRnkmYxaIIr3vaVQqFSuayvlkM9hug2OLDRhI/v2cy2NDWgQU1fYdYcItEXYeWPR/ECVHKDFazK2hKTexLv/Lcg70PbhWZnzwT3GNKlVzccAVv90xyT1xBwxOWs42OvmfNC+c5vijMMDufnTvdOAMTFPLY4TVRhbpcwXsCZ7rCYVfbukjQ+cg7annr/JCOKZaUpInOWVEUQj9WRaxjOayWnilSNYtQkWz/aCf2IJRiFnXXLwaDkQsoM/SSaGtolxcRdb49kR5OCtiQN3d4JxcYZrlx/czdDUzj412ZXAHhSS7nd6aporOOgGuWwYkPErZ4U=
weber.	3600	in	ns	v0n0.nic.weber.
weber.	3600	in	ns	v0n1.nic.weber.
weber.	3600	in	ns	v0n2.nic.weber.
weber.	3600	in	ns	v0n3.nic.weber.
weber.	3600	in	ns	v2n0.nic.weber.
weber.	3600	in	ns	v2n1.nic.weber.
weber.	3600	in	nsec3param	1 0 0 73
weber.	3600	in	rrsig	DNSKEY 8 1 3600 20250916151924 20250826141924 55549 weber. dwgC/znc34ZoEiJvefQlgwLvenWPnZP2DLuLJr//Thc60ZAANBqKWSfNH0KMRMwYs2p25iYUGtCHQjdlpG/cU1caahraaypNvI7EoW53QoeGk2+L3NzCym2tKBe8BW9lCS4Lyeat3RWwzMppkesQ6jAnhVV5KQU/ed1Dwq3IVmdRx7InuQ1fbrEPiYLZE8SUSoIARW55y6tfK/VrwA4Iyp88CdNbKyzshpl/3xm7h1jbIZPV7zR93N4TEeqq6SvgN5cTrjD0kqBbvvcjEr9/JGQAh48thvr0he2Y/WdUpBFkwvGmnr5J/u6AuvqpdaqiPpDIXyJOgKwyTVPb8/rn0w==
weber.	3600	in	rrsig	NS 8 1 3600 20250916151924 20250826141924 34518 weber. DWuCVLNuCZCn36SYT1JFY4rPwOnRTl3StXb9YZ8oieXLMOpx2p1O/8Wpp8nTQwwonKkMDlcnu4nWvvK7d9cWs4GdZfiEXC3LQPabP/8ng9Kt89Tck1YKodJ3PEO3tfTuX9tMFRh0Hz7Acjjma1DSR5lgMiidOypLnxuLrfcNHQA=
weber.	3600	in	rrsig	NSEC3PARAM 8 1 3600 20250916151924 20250826141924 34518 weber. iHrvhy19nBrPNqmSrq1DfeV0/cDCHwX9dD6zVJ3XNBjIKtW77RRUj6+MTOEM+uJUouZSeG+RGR5J0tgZYaKaflv81RinWsk6WJGIciu9PV7VW6Qwz9nDmSTmXDBhjz0qaWZuEY90wjWn5PTM2RlRc2pKGAC+0XhEN+feBKyg7PQ=
weber.	3600	in	rrsig	SOA 8 1 3600 20250917012747 20250827002747 34518 weber. cRRe+AbeHe2EtJZ9+fvwdufDkzsqg7kQW/s1vYrdDomojSx13UnIQomO0mUQMdiBkNbQFDF8T3B2VTXUphlaWplMQyA0Cv7S47eYiioCtksPxFN2VEISUC5GzpbSCOqxzjRqQwMTnWN46OqMO+y4DR3c8AF0Oy4bAWLCbvuO62I=
webercollect.weber.	3600	in	ns	nsa.perf1.fr.
webercollect.weber.	3600	in	ns	nsb.perf1.com.
webercollect.weber.	3600	in	ns	nsc.perf1.com.
weberiz.weber.	3600	in	ns	nsa.perf1.fr.
weberiz.weber.	3600	in	ns	nsb.perf1.com.
weberiz.weber.	3600	in	ns	nsc.perf1.com.
weberograms.weber.	3600	in	ns	nsa.perf1.fr.
weberograms.weber.	3600	in	ns	nsb.perf1.com.
weberograms.weber.	3600	in	ns	nsc.perf1.com.
wecare.weber.	3600	in	ns	nsa.perf1.fr.
wecare.weber.	3600	in	ns	nsb.perf1.com.
wecare.weber.	3600	in	ns	nsc.perf1.com.
www.weber.	3600	in	ns	nsa.perf1.fr.
www.weber.	3600	in	ns	nsb.perf1.com.
www.weber.	3600	in	ns	nsc.perf1.com.
za.weber.	3600	in	ns	nsa.perf1.fr.
za.weber.	3600	in	ns	nsb.perf1.com.
za.weber.	3600	in	ns	nsc.perf1.com.
weber.	3600	in	soa	v0n0.nic.weber. hostmaster.donuts.email. 1756257851 7200 900 1209600 3600
