ryukyu.	86400	in	soa	a.gmoregistry.net. noc.gmoregistry.net. 1769302942 1800 900 604800 3600
9ekcdv68njidq5flg8jmtkovof9n62ge.ryukyu.	3600	in	nsec3	1 0 0 - 9FONKDARUGIVKGT9IIANFFDET21PQHKN NS
9ekcdv68njidq5flg8jmtkovof9n62ge.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130014027 20260122152410 45091 ryukyu. WeQjgLKhEdlmuZ2w9g1Dyv087J2LcEfWmfxkjuvIdmH9gtcCs05dMGxtGtubZ75jeEsaNH74EZhYed4FWPuIrL3F8iCbacfGcRbrfHkvZCfpgBr5sWUayyVqhniIeYaZzwKbWqlmQ3+953i7Whr0BohTe2HpYxdimP856SWcovU=
9fonkdarugivkgt9iianffdet21pqhkn.ryukyu.	3600	in	nsec3	1 0 0 - 9HGCFV5DUF47VCTNH9I3I9290Q00T6TR NS
9fonkdarugivkgt9iianffdet21pqhkn.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129133603 20260122230017 45091 ryukyu. Dgpt7Y7Rw5Dathz+/j5lNF1944SHD6guzZXuJFtoYxDjb8e9UUecNYrYn8trMhXyQlCdUeWWR0J4zd9eymvhmw/iKHZDf5dJZp8z+ZwY5lDTDMuP24liQYSSi5Nk/Wo4RKq1GwXid6n8tlBIzC2LjMxlbsxobRJC0Nh5mCaKblw=
9hgcfv5duf47vctnh9i3i9290q00t6tr.ryukyu.	3600	in	nsec3	1 0 0 - 9J2BVK0C3FO8OUE16CIC5LTV64EEESN8 NS
9hgcfv5duf47vctnh9i3i9290q00t6tr.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130003431 20260122150910 45091 ryukyu. QN+AuYgGF0STpbCRrVwjE61bTI2Q7BzI/Y5sfUwh4NtX1ILjf4KGEzv8du/K3ZDvy/r2U1mv8vUR7w6qJ5SZ5JRJrmCvbRKwGuHkn3uJ0Gc80pSxnMEsyMCi89aPi+5ic5ti7Uk+zIFPJhJxWecXCfFHA3UPTMbnujlCXxGL7Gs=
9j2bvk0c3fo8oue16cic5ltv64eeesn8.ryukyu.	3600	in	nsec3	1 0 0 - 9MS9V474PD3D92FESEI5QQ12LLGIV269 NS
9j2bvk0c3fo8oue16cic5ltv64eeesn8.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129021140 20260122115714 45091 ryukyu. gM5NzpXwM9icetCvKMBEU3SK+CElCykifOBEdy6BpgnYL6sFkESysFK1+JaZ1fNkhvsq4d8MNbyOCRfj9KLDUC3szQRbDpMJsUO6Tm+ATRc2jwLjhLKD4tJ3DbQxjWjrermKqY2/KJQndmNkAu7fYt1mktkuAi1ngafudsv/fR4=
9ms9v474pd3d92fesei5qq12llgiv269.ryukyu.	3600	in	nsec3	1 0 0 - 9NON12Q60CJF4F9OPFG98DFE2IH60IQ2 NS
9ms9v474pd3d92fesei5qq12llgiv269.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130224340 20260123131911 45091 ryukyu. HNtLQ8rBEy5HsK291nCnwkh9esl+ZFSrruVx3Gfn12IJPSASeoZ7Z8gXl/trdhYco0ysfgLZKcJ3lm9XxxsUsP4Q5e7+fyZMzhbZ+FD4jb2xFBF9l93hzVgD5ygv5UJ1D6F/lqQ4/aHlVozyIVagQO+gJ8HZ8UfMv7EM/N8Ay6I=
9non12q60cjf4f9opfg98dfe2ih60iq2.ryukyu.	3600	in	nsec3	1 0 0 - 9PE9VL9F7N2J4HAPAJ2K3A7MUCG5CGAT NS DS RRSIG
9non12q60cjf4f9opfg98dfe2ih60iq2.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130055358 20260123075516 45091 ryukyu. NAujrpJbdTm2+sl4Iv9vB94WnnmElheVlUNgkVGSydRvO7R5EbeNl3QpqwtsNSExugi+4TpGYlPubduwF3Fb+Z/JM2dZs+vc+Ust+D8Szw119+OXMhSdLVQ8nbXTotSPcm9eQVn4tD/pNAwSvmMY4ITQpjlN1pwcyeteNDWdvos=
9pe9vl9f7n2j4hapaj2k3a7mucg5cgat.ryukyu.	3600	in	nsec3	1 0 0 - 9PFVSDS8463J65TU4M1RCSTP70K4O3ET NS
9pe9vl9f7n2j4hapaj2k3a7mucg5cgat.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129215743 20260122170214 45091 ryukyu. nlRpZs72WpqF6Wf3VTYHnLx6ZG96B+bXBjMiWUyv1jXoXceaKbh+rpicqRb5jK/1drhAkqHuFKot5MXtXAGAoj0XYDtXH1R0yQ0ECh+B3TR90grpToeeyL2qhtTyGJssz1yF9j8m4TIDdGtsR+rMY2uOxAflpiX4CVlRMzBgCZo=
9pfvsds8463j65tu4m1rcstp70k4o3et.ryukyu.	3600	in	nsec3	1 0 0 - 9QBR66FS90VBH9KOTMS9QUAGEAN42C2A NS
9pfvsds8463j65tu4m1rcstp70k4o3et.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260131133237 20260124101715 45091 ryukyu. TZtIgEsj5HhAtwpnWTKbSfZtpt65ijISmHSgz4EJha8wrBuwVVQzH+PltF7rovpMpdaYLX777aEishTuQzKtZIMrs3lrK6NxUlxSn4VrzFDq4fNiGonD341gV4j1SKze0jsLGZoBaNUxUhk0pgSosmMyLAbZIX2fsYeH0ZWHJIM=
9qbr66fs90vbh9kotms9quagean42c2a.ryukyu.	3600	in	nsec3	1 0 0 - 9RLDDRJQDEKP85JVEULB96QAAP0F423A NS
9qbr66fs90vbh9kotms9quagean42c2a.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130131710 20260123173911 45091 ryukyu. o2IiAtSgLBr+2/w6Q+JDXsuN9Zju0T2edem/0aWWsZJucKNOdB2ynlyRFDDkoOnxtavRisFWb+0biuBxdiiY8qt7RMR2GhvAarpVYn450aHtWcsL5K7ncEJEcXv//zkDgBQd4tWoM5yOvurF9iicAIPzBXMHBfSqceCxSY5W91M=
9rlddrjqdekp85jveulb96qaap0f423a.ryukyu.	3600	in	nsec3	1 0 0 - A2H1TT0AKV87TU1UQLV0A028CK9L5DC3 NS
9rlddrjqdekp85jveulb96qaap0f423a.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260128191203 20260122045411 45091 ryukyu. EKltnilt+nxUnnBj56rIuqWeIT6aDLJtQ8i98cpE1HFeYgbLuBdWkqEyimZ6M588CU7fz+V9BCFH0XVaXdNI3kawsl1q7Cd34WdUaKARZgwfUV84O/KyUD7Nzda2m0h34ZSeS0AklcDqROjqI5HuJlvbAV33M9AD9VNjtR6Kg4A=
__zone_status.ryukyu.	0	in	rrsig	TXT 8 2 0 20260201013122 20260125000222 45091 ryukyu. QAw4yei2Gu2TveBMZi+HopeslWlr2OstTeFdidsNjZeR8Xx0z5CiaG7BCCRcQ0JVsSQQHQQn5FJ0xKiRD6HxXpj0u4iJGM4wNyoBe2m7UGJxemBe3koD0RAETyAwJSvEIYE/C8XbfrOzZHLReghvPx6KllfSEWbBzzr45xH7gDA=
__zone_status.ryukyu.	0	in	txt	"original-serial=107490"
__zone_status.ryukyu.	0	in	txt	"original-timestamp=1769302939.61174"
a2h1tt0akv87tu1uqlv0a028ck9l5dc3.ryukyu.	3600	in	nsec3	1 0 0 - A588H5AV4QK9UI5VPEIODLP3RVTTRLD1 NS
a2h1tt0akv87tu1uqlv0a028ck9l5dc3.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129214029 20260122152410 45091 ryukyu. gN5ET9X7p8ZzZQKhyJuJOnr39E3mD4CFnvOI06Kn8cLlPgow5v8nlv/MFJKSa0kOGz3pztrkvwpGajSxZG8aTIVqI8OoVLxLCjtGAJl9N8Wcsqw3myoLgB7AR2/BhOQOpYuj5V/TCu14qRMatsfypvJ+excBPoMzQiBuxfRwVEg=
a588h5av4qk9ui5vpeiodlp3rvttrld1.ryukyu.	3600	in	nsec3	1 0 0 - A5AJQIFLO4IIPV0U2KQJ9LPAD3JBCN8O NS
a588h5av4qk9ui5vpeiodlp3rvttrld1.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260131212135 20260124233226 45091 ryukyu. LDJh+WLmUC5HLWnLZNOOPMOrn5qaa9XHe3pGPSRLT7+urKL1CFyh3ZzVDnoNW5KYtoPpt7P8EPj9wlvHXVtbYPtlHwCUGjyXTwo5CuiBzXXMKXIuswLKqeBRFfFHJ64M3dy8M1sf2qqkkW9nwYs/KdJU8cjkI8InkID3L63Hdxw=
a5ajqiflo4iipv0u2kqj9lpad3jbcn8o.ryukyu.	3600	in	nsec3	1 0 0 - A8LVAI0JHNVUD0DN0Q42974E2H5LRDDR NS
a5ajqiflo4iipv0u2kqj9lpad3jbcn8o.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260128033221 20260120154611 45091 ryukyu. P18qjaAasGOgMJL4zjH0viirM8NSfRpSk56dc7gurUDxcDP7cVg59yhV35p7fFa/qKrFAXUkiT6el4vM8YyE+/0XGlfJmXLmpSyFLCUBS9MuLsLS80sfte7gOkyDOG0Rdu0Ghte6/DTz6/xC9iMr9hwmEvFGfSZspEjemO0iCgk=
a8lvai0jhnvud0dn0q42974e2h5lrddr.ryukyu.	3600	in	nsec3	1 0 0 - A8P561ES54T01GJFSG88B69HAQ972BJT NS
a8lvai0jhnvud0dn0q42974e2h5lrddr.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260131093521 20260123214714 45091 ryukyu. FHmWmxbx8qijgL+3HalukuH+ircQdqqMqUeDIP2pggDEOFi5aJv/Obfjd6Jyg94UV59sAw6sPsdYvqTlnRcR2CGMHYNBqrmA1ShNQaXvTKEvkYDAziCq9h44ESy57OXqV+YQUjaTtf0ixA3jijwad26mjVF64hB1ROeyRkzuRVI=
a8p561es54t01gjfsg88b69haq972bjt.ryukyu.	3600	in	nsec3	1 0 0 - AB8LEVC81UUVMO1MVCU1OC3DAEG3T8FA NS
a8p561es54t01gjfsg88b69haq972bjt.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129131658 20260122034613 45091 ryukyu. hmVojzewh5LNeNTyZlMYNWHuGb+GTG+A5OudYa3UrweL87LyHAi/uyI8eCuFVzODypRfetIGYvVtn2rwqVwhpam0EixAnYpkCrKIIodcTowMuxD11sLHQCGH5MHx2M/DfCcrJVHFEAyDmkSRuHNxT10Bw+Y89B2gPU71M5od2xE=
aabnkt.ryukyu.	86400	in	ns	n1.xundns.com.
aabnkt.ryukyu.	86400	in	ns	n2.xundns.com.
aaky.ryukyu.	86400	in	ns	ns31.domaincontrol.com.
aaky.ryukyu.	86400	in	ns	ns32.domaincontrol.com.
aaqyww.ryukyu.	86400	in	ns	n1.xundns.com.
aaqyww.ryukyu.	86400	in	ns	n2.xundns.com.
ab8levc81uuvmo1mvcu1oc3daeg3t8fa.ryukyu.	3600	in	nsec3	1 0 0 - AB946GO60OQMMNT1JLD6VDQ380NSTR9M NS
ab8levc81uuvmo1mvcu1oc3daeg3t8fa.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129103759 20260122094515 45091 ryukyu. CyZyeoof943u0MbqOwBE6xS2i4by3t1NxcAIu75jrBnFUWjj7dVeX28n2FLlMDXbkJMe/D3fqYlOHPFDSbOit/srIoz+3QeCK1TA0n2ZqF41nBFg3e3+EkyqC5l/+ydKLzBZQyAUd+cZjRmKbhD0epa3zL0IEpAhKimuufG6IoA=
ab946go60oqmmnt1jld6vdq380nstr9m.ryukyu.	3600	in	nsec3	1 0 0 - ABT9UO3L3BA8GNRSRSVQ98PTENJESJF5 NS
ab946go60oqmmnt1jld6vdq380nstr9m.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130195057 20260123141210 45091 ryukyu. ZRmH7i04gILoFScbcw+Q0GiX05X0z/fRMc0r5/WzviFugBKQwXXUpL7oV9UcWA0/wJ/sKZ0ahvqEEtD0f6GPmdvKDqytOhut0BNP0N8LZwhAWt6DkmpFcHt/61911DfPT3+AEiHZueBoCQ4koudlHkw0kNtMXeVeFTW5As/GivU=
abbaba.ryukyu.	86400	in	ns	ns1.ndsplitter.com.
abbaba.ryukyu.	86400	in	ns	ns2.ndsplitter.com.
abbaba.ryukyu.	86400	in	ns	ns3.ndsplitter.com.
abc8.ryukyu.	86400	in	ns	dns1.registrar-servers.com.
abc8.ryukyu.	86400	in	ns	dns2.registrar-servers.com.
abt9uo3l3ba8gnrsrsvq98ptenjesjf5.ryukyu.	3600	in	nsec3	1 0 0 - AET3LQLHCMF1QL4LH18EA5C03FFVSP8E NS
abt9uo3l3ba8gnrsrsvq98ptenjesjf5.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129033629 20260122052810 45091 ryukyu. Q7KY899Qh+h2D4zhIp2ML2mr30Gcc0ShJEBlTRa7zGDz8acRPALKDJNXiEV0vBho0vEhzBeGPoYCMnrOXkuzkLGM0H/7yjVoGlnsytPPVcSirGXwoB2YEsiBDKZhYnJVe12+K8pppf1wT32kwal8azV6LPpBX4SK3TMCIt6hFlA=
abyat.ryukyu.	86400	in	ns	dns1.registrar-servers.com.
abyat.ryukyu.	86400	in	ns	dns2.registrar-servers.com.
ad-v.ryukyu.	86400	in	ns	ns1.brdomain.jp.
ad-v.ryukyu.	86400	in	ns	ns2.brdomain.jp.
adgeb.ryukyu.	86400	in	ns	n1.xundns.com.
adgeb.ryukyu.	86400	in	ns	n2.xundns.com.
aeon.ryukyu.	86400	in	ns	dns1.onamae.com.
aeon.ryukyu.	86400	in	ns	dns2.onamae.com.
aet3lqlhcmf1ql4lh18ea5c03ffvsp8e.ryukyu.	3600	in	nsec3	1 0 0 - AFU3VF5C4HTMM81KPNJ26MPMH7SSCRL7 NS
aet3lqlhcmf1ql4lh18ea5c03ffvsp8e.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130104517 20260123051721 45091 ryukyu. mDZngaTwqiVfKvDFZ/aRLtEV1+A/tN9gnWmbViZgd68StZ9gGLRRsZAtAX2Rhm3saMCMFpS3V8+mxlRo3HFlx79FhFPskwhHJ2OQv8iSW3ZGG2ho89fOuJQqeOiuPvzi5gYDPEdfJwpH49CDD/mk7LkQAp9dzk6UlM3bF+uRmZo=
aflacjapan.ryukyu.	86400	in	ns	ns1.markmonitor.com.
aflacjapan.ryukyu.	86400	in	ns	ns2.markmonitor.com.
aflacjapan.ryukyu.	86400	in	ns	ns3.markmonitor.com.
aflacjapan.ryukyu.	86400	in	ns	ns4.markmonitor.com.
aflacjapan.ryukyu.	86400	in	ns	ns5.markmonitor.com.
aflacjapan.ryukyu.	86400	in	ns	ns6.markmonitor.com.
aflacjapan.ryukyu.	86400	in	ns	ns7.markmonitor.com.
afu3vf5c4htmm81kpnj26mpmh7sscrl7.ryukyu.	3600	in	nsec3	1 0 0 - AHBQ06K9LUKHD520IP7J2S58185BBI00 NS
afu3vf5c4htmm81kpnj26mpmh7sscrl7.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129082740 20260122073717 45091 ryukyu. NqfoKEDyCCCOLlNWyEYw8cnZeVjPAVUPG694fnBP5db5Sgfvw87Aw/YsbCgSXEIfkE5sL92/VguzdnhoL8x+ZJCU0BegcckM+6omTw9AW/WAltxCVm8LnFi7Ru6t0PLcSw+LP4Ldh+yCk2CiYmo4B6wVsfe0+EIWRJ1I2r8u/Ho=
agenpaito.ryukyu.	86400	in	ns	darl.ns.cloudflare.com.
agenpaito.ryukyu.	86400	in	ns	rosa.ns.cloudflare.com.
agu.ryukyu.	86400	in	ns	dns1.onamae.com.
agu.ryukyu.	86400	in	ns	dns2.onamae.com.
ahbq06k9lukhd520ip7j2s58185bbi00.ryukyu.	3600	in	nsec3	1 0 0 - AIVQMDHH16UO6C0EKG5FKMAIJH0M5KFE NS
ahbq06k9lukhd520ip7j2s58185bbi00.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130131730 20260123154610 45091 ryukyu. I9eLQ74iN0MPEa6a5QA9n/0d3Zr2cIPGJChmlDT7ZCPm2ZI1nkHZKEwbLOpG2BMsbl/3NPUZ9RaAh3SzNl3+Tvps2uc3VuINyrsjnesU9okWUQj3niYmotw1wiummX/gkryXyH2TWa7UWUIS3ugyStvEYvsTT4qo2CQmymvArfs=
ahhtin.ryukyu.	86400	in	ns	n1.xundns.com.
ahhtin.ryukyu.	86400	in	ns	n2.xundns.com.
aircraft-island.ryukyu.	86400	in	ns	01.dnsv.jp.
aircraft-island.ryukyu.	86400	in	ns	02.dnsv.jp.
aircraft-island.ryukyu.	86400	in	ns	03.dnsv.jp.
aircraft-island.ryukyu.	86400	in	ns	04.dnsv.jp.
aivqmdhh16uo6c0ekg5fkmaijh0m5kfe.ryukyu.	3600	in	nsec3	1 0 0 - AJ72I0JHUHSO5I6KENBGJAP9M67TGDKM NS
aivqmdhh16uo6c0ekg5fkmaijh0m5kfe.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130122238 20260122234436 45091 ryukyu. TQc2PhtDOXSl7TKl+vtmyA+AfSEiUe/4nmv38/rt2OkuYpY0MGyj/xyjCx2+n7Uqa8i2mIGXma5K70yrFVVkkpRTptaS9kqwfp8bKywADL3AmIusaX4B1zL25zXuGegxFF2aH+r8nrjhtnBJi599rZwklFQ04/6rAw6X/I6AuTU=
aj72i0jhuhso5i6kenbgjap9m67tgdkm.ryukyu.	3600	in	nsec3	1 0 0 - AJPOIMH33RPBFB8TBUKKSSGQBV501MU3 NS
aj72i0jhuhso5i6kenbgjap9m67tgdkm.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260128085858 20260120205908 45091 ryukyu. SOm8IJ1b0tAUdgGxMcn4pL14IEhZz7pnFIRSN3KrXRJb4ZS1ULIpLklm5QXzr6xfCzMWB/bqtZVVTDlvfn2r54T/KEpfuIXacEExIenym7lhMK49Vs7zdYIcVYrF7CLJNyBnEgMW/Amae1fQ2aoROS965bME5Q0dWD1+fol6o5w=
ajpoimh33rpbfb8tbukkssgqbv501mu3.ryukyu.	3600	in	nsec3	1 0 0 - ALEOU7I1NEN7ENQTJLA3R4C2KRS7ON78 NS
ajpoimh33rpbfb8tbukkssgqbv501mu3.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260128015535 20260120132308 45091 ryukyu. nqOAOfB/fc05ShV30CIyjHk6H/pbNW5AxMnzCaEmoPajB7UUitGHa3hn3Ge8oe/ecwjDAjkZyOxZ1Ei/9MAb6vVqWeZslFlfrM7kp8qXaaItLYAFBHHQfFaxWBb9ylUa+FNMOTDrfju4L2odLS+Uaalf5W24VtuLZbUmoqAy4bc=
akagawara.ryukyu.	86400	in	ns	dns0.heteml.jp.
akagawara.ryukyu.	86400	in	ns	dns1.heteml.jp.
alamo.ryukyu.	86400	in	ns	ns1.markmonitor.com.
alamo.ryukyu.	86400	in	ns	ns2.markmonitor.com.
alamo.ryukyu.	86400	in	ns	ns3.markmonitor.com.
alamo.ryukyu.	86400	in	ns	ns4.markmonitor.com.
alamo.ryukyu.	86400	in	ns	ns5.markmonitor.com.
alamo.ryukyu.	86400	in	ns	ns6.markmonitor.com.
alamo.ryukyu.	86400	in	ns	ns7.markmonitor.com.
aleou7i1nen7enqtjla3r4c2krs7on78.ryukyu.	3600	in	nsec3	1 0 0 - AMBMUPIC1QDJ7D1DU522HDF20S18R9SJ NS
aleou7i1nen7enqtjla3r4c2krs7on78.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260128094237 20260121154407 45091 ryukyu. cccrL+FOnBj+soXYP5qZ8RO/f63aKzW6tXuJgGQEkAstuZkuX4wIZVsTGsVvZObtkMa47UbIaCKOYBf6so7Z5DZC7EahHvXC9z0SFFnL4UO7/8PxyXAZ40+ndn4tGII7C/pVB3jvz7FXCfC4cy+3xFZvPMV88u44ZiNthk88K1M=
alkekm.ryukyu.	86400	in	ns	n1.xundns.com.
alkekm.ryukyu.	86400	in	ns	n2.xundns.com.
alo789.ryukyu.	86400	in	ns	bethany.ns.cloudflare.com.
alo789.ryukyu.	86400	in	ns	dion.ns.cloudflare.com.
aloha.ryukyu.	86400	in	ns	dns0.heteml.jp.
aloha.ryukyu.	86400	in	ns	dns1.heteml.jp.
alphabet.ryukyu.	86400	in	ns	ns1.googledomains.com.
alphabet.ryukyu.	86400	in	ns	ns2.googledomains.com.
alphabet.ryukyu.	86400	in	ns	ns3.googledomains.com.
alphabet.ryukyu.	86400	in	ns	ns4.googledomains.com.
ama.ryukyu.	86400	in	ns	dns01.muumuu-domain.com.
ama.ryukyu.	86400	in	ns	dns02.muumuu-domain.com.
amakuma.ryukyu.	86400	in	ns	ns1.xserver.jp.
amakuma.ryukyu.	86400	in	ns	ns2.xserver.jp.
amakuma.ryukyu.	86400	in	ns	ns3.xserver.jp.
amakuma.ryukyu.	86400	in	ns	ns4.xserver.jp.
amakuma.ryukyu.	86400	in	ns	ns5.xserver.jp.
amami.ryukyu.	86400	in	ns	dns01.muumuu-domain.com.
amami.ryukyu.	86400	in	ns	dns02.muumuu-domain.com.
amat.ryukyu.	86400	in	ns	udns1.cscdns.net.
amat.ryukyu.	86400	in	ns	udns2.cscdns.uk.
amazon.ryukyu.	86400	in	ns	nsgbr.comlaude.co.uk.
amazon.ryukyu.	86400	in	ns	nssui.comlaude.ch.
amazon.ryukyu.	86400	in	ns	nsusa.comlaude.net.
ambition.ryukyu.	86400	in	ns	dns1.onamae.com.
ambition.ryukyu.	86400	in	ns	dns2.onamae.com.
ambmupic1qdj7d1du522hdf20s18r9sj.ryukyu.	3600	in	nsec3	1 0 0 - AO9G4SEQHO450NH47PPA4LTHCUNS88FL NS
ambmupic1qdj7d1du522hdf20s18r9sj.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260128020628 20260121062309 45091 ryukyu. o0aWMaDNSmO1NeKHVZwqfkoDSY/s6rLiVlVeX+Hu4c9lmII19skO/T0pIYMDKPXkWXIic0kEXfdYo+7xwn/TqVg/TmC32KISuqZ4VZDK8K/jkgeepLL6MmRXiNWq0fvLYK63LBw+qn1R6TMnlgpK4a3z7XdgdCeflneb0IG3TXo=
angkah.ryukyu.	86400	in	ns	dns1.registrar-servers.com.
angkah.ryukyu.	86400	in	ns	dns2.registrar-servers.com.
animation.ryukyu.	86400	in	ns	01.dnsv.jp.
animation.ryukyu.	86400	in	ns	02.dnsv.jp.
animation.ryukyu.	86400	in	ns	03.dnsv.jp.
animation.ryukyu.	86400	in	ns	04.dnsv.jp.
annulus.ryukyu.	86400	in	ns	ns1.xserver.jp.
annulus.ryukyu.	86400	in	ns	ns2.xserver.jp.
annulus.ryukyu.	86400	in	ns	ns3.xserver.jp.
annulus.ryukyu.	86400	in	ns	ns4.xserver.jp.
annulus.ryukyu.	86400	in	ns	ns5.xserver.jp.
any.ryukyu.	86400	in	ns	ns29.domaincontrol.com.
any.ryukyu.	86400	in	ns	ns30.domaincontrol.com.
ao9g4seqho450nh47ppa4lthcuns88fl.ryukyu.	3600	in	nsec3	1 0 0 - AQ1PLPO5TRE9TK6TVNMK836048VR2PTF NS
ao9g4seqho450nh47ppa4lthcuns88fl.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129120725 20260122072113 45091 ryukyu. lgrDd1B+YhYmAYrbfQKyWRH/1PYj95ZPb4RtslTdyK1NsVy6xFmCUImqxFl4LHy/ZnvWCHGqnQGfY9aogYeymKfnKrkMxxfLW+5n8I4TuQ3H4wLXhGogkdyqJwMZyMHYM6C2zPGqTPdvKyf7PAlKfDn1v5MPYHLuEPfgx+jH4k8=
aome.ryukyu.	86400	in	ns	dns01.muumuu-domain.com.
aome.ryukyu.	86400	in	ns	dns02.muumuu-domain.com.
aozora.ryukyu.	86400	in	ns	uns01.lolipop.jp.
aozora.ryukyu.	86400	in	ns	uns02.lolipop.jp.
app.ryukyu.	86400	in	ns	ns47.domaincontrol.com.
app.ryukyu.	86400	in	ns	ns48.domaincontrol.com.
apple.ryukyu.	86400	in	ns	a.ns.apple.com.
apple.ryukyu.	86400	in	ns	b.ns.apple.com.
apple.ryukyu.	86400	in	ns	c.ns.apple.com.
apple.ryukyu.	86400	in	ns	d.ns.apple.com.
applemusic.ryukyu.	86400	in	ns	a.ns.apple.com.
applemusic.ryukyu.	86400	in	ns	b.ns.apple.com.
applemusic.ryukyu.	86400	in	ns	c.ns.apple.com.
applemusic.ryukyu.	86400	in	ns	d.ns.apple.com.
applenews.ryukyu.	86400	in	ns	a.ns.apple.com.
applenews.ryukyu.	86400	in	ns	b.ns.apple.com.
applenews.ryukyu.	86400	in	ns	c.ns.apple.com.
applenews.ryukyu.	86400	in	ns	d.ns.apple.com.
applestore.ryukyu.	86400	in	ns	a.ns.apple.com.
applestore.ryukyu.	86400	in	ns	b.ns.apple.com.
applestore.ryukyu.	86400	in	ns	c.ns.apple.com.
applestore.ryukyu.	86400	in	ns	d.ns.apple.com.
appletv.ryukyu.	86400	in	ns	a.ns.apple.com.
appletv.ryukyu.	86400	in	ns	b.ns.apple.com.
appletv.ryukyu.	86400	in	ns	c.ns.apple.com.
appletv.ryukyu.	86400	in	ns	d.ns.apple.com.
appliedmaterials.ryukyu.	86400	in	ns	udns1.cscdns.net.
appliedmaterials.ryukyu.	86400	in	ns	udns2.cscdns.uk.
aq1plpo5tre9tk6tvnmk836048vr2ptf.ryukyu.	3600	in	nsec3	1 0 0 - ARGDVEQSR9GONVDOKJEILG49266D70OJ NS
aq1plpo5tre9tk6tvnmk836048vr2ptf.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260127172857 20260120174318 45091 ryukyu. hySsTNRmKC7qFLgWUxOFQ2FMCuMrjMhqPGhkP6cZcPOPxB2WgtC2w4TICQutQjmJ9N/kzq5tU9sDlbU/sEl//LU66M2YCJVzkuXXmBMGDZ3K2Eb+VW4KzOF1+X4AEtGItl9l3NLHKIUN7km90c8gb7QFOeScBGrcLVLqlyrffpA=
aquarius.ryukyu.	86400	in	ns	ns11.value-domain.com.
aquarius.ryukyu.	86400	in	ns	ns12.value-domain.com.
aquarius.ryukyu.	86400	in	ns	ns13.value-domain.com.
argdveqsr9gonvdokjeilg49266d70oj.ryukyu.	3600	in	nsec3	1 0 0 - ARIAU0MP4BKEJSH50AVNLE7Q2B1QHJAN NS
argdveqsr9gonvdokjeilg49266d70oj.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260128194706 20260122024220 45091 ryukyu. b1Oh1ZEoUGbm8wNzqj7nLTya83q88eE91WbwO4Fen9EOU9zNfo08JD8x7Duwsa31vz6MvNo619nym8i0g4njvpQI83Kb2osBs0aain6l9x8RwmiiAgB6xJzp4E5g0hEJ7UCNTYV1gAuiiesb8Q6pESGhpO7ALzVkw2fmVe5IZd8=
ariau0mp4bkejsh50avnle7q2b1qhjan.ryukyu.	3600	in	nsec3	1 0 0 - AS3A2I51R4I1SSQDQQFCJKMPI6PIUKSS NS
ariau0mp4bkejsh50avnle7q2b1qhjan.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130144916 20260123060608 45091 ryukyu. fHb3lxl2T3+K05titU4DwGAAQQYF5yf76KtnwVNjfPMfGldvO81uxHYG/TsDT0XE08rKcSo/YW8IpB5KG+F2qvAUwreC1F2JIydz5ti1qHFFIBGBCfutvOZ2OBtjF7+9Mwm2KMfiMil+Q6w1vxkuRgpZKNDRisQb8KmeQDRL1/Q=
arrow.ryukyu.	86400	in	ns	pdns77.ultradns.biz.
arrow.ryukyu.	86400	in	ns	pdns77.ultradns.com.
arrow.ryukyu.	86400	in	ns	pdns77.ultradns.net.
arrow.ryukyu.	86400	in	ns	pdns77.ultradns.org.
artenika.ryukyu.	86400	in	ns	pdns13.domaincontrol.com.
artenika.ryukyu.	86400	in	ns	pdns14.domaincontrol.com.
